DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,
tajo,1,41.42961342086068,Naive Bayes,None,None,None,0.0,0.0,0.44066739435521596,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (forward),None,None,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (backward),None,None,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (forward),Under,None,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (backward),Under,None,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (forward),Over,None,0.0,0.0,0.5199633556837674,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (backward),Over,None,0.0,0.0,0.5199633556837674,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (forward),Smote,None,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (backward),Smote,None,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (forward),None,Learning,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Naive Bayes,Best first (backward),None,Learning,0.0,0.0,0.5104943084359894,0.0,0.0,0.0,583.0,220.0,
tajo,2,57.148812005002085,Naive Bayes,None,None,None,0.45054945054945056,0.2907801418439716,0.799195631141708,0.2754916977550579,41.0,50.0,837.0,100.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (forward),None,None,0.5434782608695652,0.1773049645390071,0.8487650619268072,0.21436540521242425,25.0,21.0,866.0,116.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (backward),None,None,0.5434782608695652,0.1773049645390071,0.8487650619268072,0.21436540521242425,25.0,21.0,866.0,116.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (forward),Under,None,0.4342105263157895,0.9361702127659575,0.8511997569302854,0.4994565977639804,132.0,172.0,715.0,9.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (backward),Under,None,0.4342105263157895,0.9361702127659575,0.8511997569302854,0.4994565977639804,132.0,172.0,715.0,9.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (forward),Over,None,0.40310077519379844,0.36879432624113473,0.8510318469300455,0.2924513437984594,52.0,77.0,810.0,89.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (backward),Over,None,0.40310077519379844,0.36879432624113473,0.8510318469300455,0.2924513437984594,52.0,77.0,810.0,89.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (forward),Smote,None,0.4444444444444444,0.45390070921985815,0.846062510494375,0.3604837303662847,64.0,80.0,807.0,77.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (backward),Smote,None,0.4444444444444444,0.45390070921985815,0.846062510494375,0.3604837303662847,64.0,80.0,807.0,77.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (forward),None,Learning,0.4342105263157895,0.9361702127659575,0.8487650619268072,0.4994565977639804,132.0,172.0,715.0,9.0,
tajo,2,57.148812005002085,Naive Bayes,Best first (backward),None,Learning,0.4342105263157895,0.9361702127659575,0.8487650619268072,0.4994565977639804,132.0,172.0,715.0,9.0,
tajo,3,66.76871694962426,Naive Bayes,None,None,None,0.5454545454545454,0.35,0.8643738361266294,0.3774880270187971,42.0,35.0,1039.0,78.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (forward),None,None,0.6984126984126984,0.36666666666666664,0.9388151769087524,0.44228102781957124,44.0,19.0,1055.0,76.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (backward),None,None,0.6984126984126984,0.36666666666666664,0.9388151769087524,0.44228102781957124,44.0,19.0,1055.0,76.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (forward),Under,None,0.5398230088495575,0.5083333333333333,0.9387918994413408,0.47214854111405824,61.0,52.0,1022.0,59.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (backward),Under,None,0.5398230088495575,0.5083333333333333,0.9387918994413408,0.47214854111405824,61.0,52.0,1022.0,59.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (forward),Over,None,0.5566037735849056,0.49166666666666664,0.9389781191806331,0.4723817940786568,59.0,47.0,1027.0,61.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (backward),Over,None,0.5566037735849056,0.49166666666666664,0.9389781191806331,0.4723817940786568,59.0,47.0,1027.0,61.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (forward),Smote,None,0.5625,0.525,0.9328522656734948,0.49400307042794095,63.0,49.0,1025.0,57.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (backward),Smote,None,0.5625,0.525,0.9328522656734948,0.49400307042794095,63.0,49.0,1025.0,57.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (forward),None,Learning,0.5327868852459017,0.5416666666666666,0.9388151769087524,0.4850039280927952,65.0,57.0,1017.0,55.0,
tajo,3,66.76871694962426,Naive Bayes,Best first (backward),None,Learning,0.5327868852459017,0.5416666666666666,0.9388151769087524,0.4850039280927952,65.0,57.0,1017.0,55.0,
tajo,4,72.68865061703418,Naive Bayes,None,None,None,0.4126984126984127,0.24761904761904763,0.899942627653471,0.266750948166877,26.0,37.0,1208.0,79.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (forward),None,None,0.7333333333333333,0.3142857142857143,0.9345458022566456,0.41258741258741327,33.0,12.0,1233.0,72.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (backward),None,None,0.7333333333333333,0.3142857142857143,0.9345458022566456,0.41258741258741327,33.0,12.0,1233.0,72.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (forward),Under,None,0.5116279069767442,0.41904761904761906,0.930610059284758,0.4201176029025395,44.0,42.0,1203.0,61.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (backward),Under,None,0.5116279069767442,0.41904761904761906,0.930610059284758,0.4201176029025395,44.0,42.0,1203.0,61.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (forward),Over,None,0.5176470588235295,0.41904761904761906,0.9309045706636068,0.4230043997485854,44.0,41.0,1204.0,61.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (backward),Over,None,0.5176470588235295,0.41904761904761906,0.9309045706636068,0.4230043997485854,44.0,41.0,1204.0,61.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (forward),Smote,None,0.5348837209302325,0.4380952380952381,0.9431172308280742,0.44263730764418835,46.0,40.0,1205.0,59.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (backward),Smote,None,0.5348837209302325,0.4380952380952381,0.9431172308280742,0.44263730764418835,46.0,40.0,1205.0,59.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (forward),None,Learning,0.5113636363636364,0.42857142857142855,0.9345458022566456,0.42557937786590627,45.0,43.0,1202.0,60.0,
tajo,4,72.68865061703418,Naive Bayes,Best first (backward),None,Learning,0.5113636363636364,0.42857142857142855,0.9345458022566456,0.42557937786590627,45.0,43.0,1202.0,60.0,
tajo,1,41.42961342086068,Random Forest,None,None,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (forward),None,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (backward),None,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (forward),Under,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (backward),Under,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (forward),Over,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (backward),Over,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (forward),Smote,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (backward),Smote,None,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (forward),None,Learning,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,Random Forest,Best first (backward),None,Learning,0.0,0.0,0.5,0.0,0.0,0.0,583.0,220.0,
tajo,2,57.148812005002085,Random Forest,None,None,None,0.07692307692307693,0.0070921985815602835,0.7839438061199198,-0.010410873866766774,1.0,12.0,875.0,140.0,
tajo,2,57.148812005002085,Random Forest,Best first (forward),None,None,0.34545454545454546,0.1347517730496454,0.6597183909424549,0.12664938863736575,19.0,36.0,851.0,122.0,
tajo,2,57.148812005002085,Random Forest,Best first (backward),None,None,0.34545454545454546,0.1347517730496454,0.6597183909424549,0.12664938863736575,19.0,36.0,851.0,122.0,
tajo,2,57.148812005002085,Random Forest,Best first (forward),Under,None,0.384,0.3404255319148936,0.8624497269463568,0.2663246542792132,48.0,77.0,810.0,93.0,
tajo,2,57.148812005002085,Random Forest,Best first (backward),Under,None,0.384,0.3404255319148936,0.8624497269463568,0.2663246542792132,48.0,77.0,810.0,93.0,
tajo,2,57.148812005002085,Random Forest,Best first (forward),Over,None,0.3333333333333333,0.19148936170212766,0.6521624409316606,0.1590756376172254,27.0,54.0,833.0,114.0,
tajo,2,57.148812005002085,Random Forest,Best first (backward),Over,None,0.3333333333333333,0.19148936170212766,0.6521624409316606,0.1590756376172254,27.0,54.0,833.0,114.0,
tajo,2,57.148812005002085,Random Forest,Best first (forward),Smote,None,0.33783783783783783,0.1773049645390071,0.6610336859443339,0.15254406650945268,25.0,49.0,838.0,116.0,
tajo,2,57.148812005002085,Random Forest,Best first (backward),Smote,None,0.33783783783783783,0.1773049645390071,0.6610336859443339,0.15254406650945268,25.0,49.0,838.0,116.0,
tajo,2,57.148812005002085,Random Forest,Best first (forward),None,Learning,0.37,0.2624113475177305,0.6716799795309714,0.2180479895057117,37.0,63.0,824.0,104.0,
tajo,2,57.148812005002085,Random Forest,Best first (backward),None,Learning,0.37,0.2624113475177305,0.6716799795309714,0.2180479895057117,37.0,63.0,824.0,104.0,
tajo,3,66.76871694962426,Random Forest,None,None,None,0.6702127659574468,0.525,0.9070297951582867,0.5489620357492406,63.0,31.0,1043.0,57.0,
tajo,3,66.76871694962426,Random Forest,Best first (forward),None,None,0.5794392523364486,0.5166666666666667,0.8872943823711981,0.4987650698163503,62.0,45.0,1029.0,58.0,
tajo,3,66.76871694962426,Random Forest,Best first (backward),None,None,0.5794392523364486,0.5166666666666667,0.8872943823711981,0.4987650698163503,62.0,45.0,1029.0,58.0,
tajo,3,66.76871694962426,Random Forest,Best first (forward),Under,None,0.4739583333333333,0.7583333333333333,0.9055167597765363,0.5245184531686519,91.0,101.0,973.0,29.0,
tajo,3,66.76871694962426,Random Forest,Best first (backward),Under,None,0.4739583333333333,0.7583333333333333,0.9055167597765363,0.5245184531686519,91.0,101.0,973.0,29.0,
tajo,3,66.76871694962426,Random Forest,Best first (forward),Over,None,0.484472049689441,0.65,0.8875271570453135,0.49726146445966996,78.0,83.0,991.0,42.0,
tajo,3,66.76871694962426,Random Forest,Best first (backward),Over,None,0.484472049689441,0.65,0.8875271570453135,0.49726146445966996,78.0,83.0,991.0,42.0,
tajo,3,66.76871694962426,Random Forest,Best first (forward),Smote,None,0.5338983050847458,0.525,0.880485723153321,0.47732282725950925,63.0,55.0,1019.0,57.0,
tajo,3,66.76871694962426,Random Forest,Best first (backward),Smote,None,0.5338983050847458,0.525,0.880485723153321,0.47732282725950925,63.0,55.0,1019.0,57.0,
tajo,3,66.76871694962426,Random Forest,Best first (forward),None,Learning,0.48255813953488375,0.6916666666666667,0.8991426132836747,0.5105411103302882,83.0,89.0,985.0,37.0,
tajo,3,66.76871694962426,Random Forest,Best first (backward),None,Learning,0.48255813953488375,0.6916666666666667,0.8991426132836747,0.5105411103302882,83.0,89.0,985.0,37.0,
tajo,4,72.68865061703418,Random Forest,None,None,None,0.25,0.14285714285714285,0.8793536048957735,0.13276231263383328,15.0,45.0,1200.0,90.0,
tajo,4,72.68865061703418,Random Forest,Best first (forward),None,None,0.5333333333333333,0.3047619047619048,0.9044329699751387,0.35117773019271986,32.0,28.0,1217.0,73.0,
tajo,4,72.68865061703418,Random Forest,Best first (backward),None,None,0.5333333333333333,0.3047619047619048,0.9044329699751387,0.35117773019271986,32.0,28.0,1217.0,73.0,
tajo,4,72.68865061703418,Random Forest,Best first (forward),Under,None,0.329004329004329,0.7238095238095238,0.9137884872824632,0.38680293268162647,76.0,155.0,1090.0,29.0,
tajo,4,72.68865061703418,Random Forest,Best first (backward),Under,None,0.329004329004329,0.7238095238095238,0.9137884872824632,0.38680293268162647,76.0,155.0,1090.0,29.0,
tajo,4,72.68865061703418,Random Forest,Best first (forward),Over,None,0.3112244897959184,0.580952380952381,0.8907133295085102,0.33828965743859357,61.0,135.0,1110.0,44.0,
tajo,4,72.68865061703418,Random Forest,Best first (backward),Over,None,0.3112244897959184,0.580952380952381,0.8907133295085102,0.33828965743859357,61.0,135.0,1110.0,44.0,
tajo,4,72.68865061703418,Random Forest,Best first (forward),Smote,None,0.3184713375796178,0.47619047619047616,0.8977586536622681,0.31811804321391846,50.0,107.0,1138.0,55.0,
tajo,4,72.68865061703418,Random Forest,Best first (backward),Smote,None,0.3184713375796178,0.47619047619047616,0.8977586536622681,0.31811804321391846,50.0,107.0,1138.0,55.0,
tajo,4,72.68865061703418,Random Forest,Best first (forward),None,Learning,0.3108108108108108,0.6571428571428571,0.9093899407152419,0.3537725096877135,69.0,153.0,1092.0,36.0,
tajo,4,72.68865061703418,Random Forest,Best first (backward),None,Learning,0.3108108108108108,0.6571428571428571,0.9093899407152419,0.3537725096877135,69.0,153.0,1092.0,36.0,
tajo,1,41.42961342086068,IBk,None,None,None,0.0,0.0,0.5540308747855918,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),None,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),None,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),Under,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),Under,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),Over,None,0.0,0.0,0.7092897239981288,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),Over,None,0.0,0.0,0.7092897239981288,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),Smote,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),Smote,None,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (forward),None,Learning,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,1,41.42961342086068,IBk,Best first (backward),None,Learning,0.0,0.0,0.7234289723998129,0.0,0.0,0.0,583.0,220.0,
tajo,2,57.148812005002085,IBk,None,None,None,0.45161290322580644,0.09929078014184398,0.5893121286990173,0.11924509442269493,14.0,17.0,870.0,127.0,
tajo,2,57.148812005002085,IBk,Best first (forward),None,None,0.35526315789473684,0.19148936170212766,0.7743409532490585,0.16901073178472964,27.0,49.0,838.0,114.0,
tajo,2,57.148812005002085,IBk,Best first (backward),None,None,0.35526315789473684,0.19148936170212766,0.7743409532490585,0.16901073178472964,27.0,49.0,838.0,114.0,
tajo,2,57.148812005002085,IBk,Best first (forward),Under,None,0.3798449612403101,0.3475177304964539,0.7955455875650651,0.26687729598394594,49.0,80.0,807.0,92.0,
tajo,2,57.148812005002085,IBk,Best first (backward),Under,None,0.3798449612403101,0.3475177304964539,0.7955455875650651,0.26687729598394594,49.0,80.0,807.0,92.0,
tajo,2,57.148812005002085,IBk,Best first (forward),Over,None,0.37209302325581395,0.22695035460992907,0.782440611832058,0.1986571275537533,32.0,54.0,833.0,109.0,
tajo,2,57.148812005002085,IBk,Best first (backward),Over,None,0.37209302325581395,0.22695035460992907,0.782440611832058,0.1986571275537533,32.0,54.0,833.0,109.0,
tajo,2,57.148812005002085,IBk,Best first (forward),Smote,None,0.3614457831325301,0.2127659574468085,0.7759640832513772,0.18501832103874005,30.0,53.0,834.0,111.0,
tajo,2,57.148812005002085,IBk,Best first (backward),Smote,None,0.3614457831325301,0.2127659574468085,0.7759640832513772,0.18501832103874005,30.0,53.0,834.0,111.0,
tajo,2,57.148812005002085,IBk,Best first (forward),None,Learning,0.36363636363636365,0.19858156028368795,0.7743409532490585,0.1771530213943377,28.0,49.0,838.0,113.0,
tajo,2,57.148812005002085,IBk,Best first (backward),None,Learning,0.36363636363636365,0.19858156028368795,0.7743409532490585,0.1771530213943377,28.0,49.0,838.0,113.0,
tajo,3,66.76871694962426,IBk,None,None,None,0.5363636363636364,0.49166666666666664,0.8226683736809435,0.46125211505922165,59.0,51.0,1023.0,61.0,
tajo,3,66.76871694962426,IBk,Best first (forward),None,None,0.5267857142857143,0.49166666666666664,0.881405183116077,0.45581462291306885,59.0,53.0,1021.0,61.0,
tajo,3,66.76871694962426,IBk,Best first (backward),None,None,0.5267857142857143,0.49166666666666664,0.881405183116077,0.45581462291306885,59.0,53.0,1021.0,61.0,
tajo,3,66.76871694962426,IBk,Best first (forward),Under,None,0.4784688995215311,0.8333333333333334,0.88370965238982,0.5505069076009877,100.0,109.0,965.0,20.0,
tajo,3,66.76871694962426,IBk,Best first (backward),Under,None,0.4784688995215311,0.8333333333333334,0.88370965238982,0.5505069076009877,100.0,109.0,965.0,20.0,
tajo,3,66.76871694962426,IBk,Best first (forward),Over,None,0.49375,0.6583333333333333,0.8848192116697703,0.5077453365774532,79.0,81.0,993.0,41.0,
tajo,3,66.76871694962426,IBk,Best first (backward),Over,None,0.49375,0.6583333333333333,0.8848192116697703,0.5077453365774532,79.0,81.0,993.0,41.0,
tajo,3,66.76871694962426,IBk,Best first (forward),Smote,None,0.5169491525423728,0.5083333333333333,0.8801326815642458,0.4586557853759204,61.0,57.0,1017.0,59.0,
tajo,3,66.76871694962426,IBk,Best first (backward),Smote,None,0.5169491525423728,0.5083333333333333,0.8801326815642458,0.4586557853759204,61.0,57.0,1017.0,59.0,
tajo,3,66.76871694962426,IBk,Best first (forward),None,Learning,0.4785714285714286,0.5583333333333333,0.881405183116077,0.45656697009102726,67.0,73.0,1001.0,53.0,
tajo,3,66.76871694962426,IBk,Best first (backward),None,Learning,0.4785714285714286,0.5583333333333333,0.881405183116077,0.45656697009102726,67.0,73.0,1001.0,53.0,
tajo,4,72.68865061703418,IBk,None,None,None,0.26744186046511625,0.21904761904761905,0.7575941862688851,0.18366070311522578,23.0,63.0,1182.0,82.0,
tajo,4,72.68865061703418,IBk,Best first (forward),None,None,0.5,0.3238095238095238,0.9092943201376936,0.35353673553153714,34.0,34.0,1211.0,71.0,
tajo,4,72.68865061703418,IBk,Best first (backward),None,None,0.5,0.3238095238095238,0.9092943201376936,0.35353673553153714,34.0,34.0,1211.0,71.0,
tajo,4,72.68865061703418,IBk,Best first (forward),Under,None,0.3090128755364807,0.6857142857142857,0.9014037100784089,0.35709551513366233,72.0,161.0,1084.0,33.0,
tajo,4,72.68865061703418,IBk,Best first (backward),Under,None,0.3090128755364807,0.6857142857142857,0.9014037100784089,0.35709551513366233,72.0,161.0,1084.0,33.0,
tajo,4,72.68865061703418,IBk,Best first (forward),Over,None,0.29842931937172773,0.5428571428571428,0.9044253203289347,0.3165317533171994,57.0,134.0,1111.0,48.0,
tajo,4,72.68865061703418,IBk,Best first (backward),Over,None,0.29842931937172773,0.5428571428571428,0.9044253203289347,0.3165317533171994,57.0,134.0,1111.0,48.0,
tajo,4,72.68865061703418,IBk,Best first (forward),Smote,None,0.3184713375796178,0.47619047619047616,0.9081315739147064,0.31811804321391846,50.0,107.0,1138.0,55.0,
tajo,4,72.68865061703418,IBk,Best first (backward),Smote,None,0.3184713375796178,0.47619047619047616,0.9081315739147064,0.31811804321391846,50.0,107.0,1138.0,55.0,
tajo,4,72.68865061703418,IBk,Best first (forward),None,Learning,0.2923076923076923,0.5428571428571428,0.9091145534519028,0.31025957972805934,57.0,138.0,1107.0,48.0,
tajo,4,72.68865061703418,IBk,Best first (backward),None,Learning,0.2923076923076923,0.5428571428571428,0.9091145534519028,0.31025957972805934,57.0,138.0,1107.0,48.0,
